class,x1,y1,z1,visibility1,x2,y2,z2,visibility2,x3,y3,z3,visibility3,x4,y4,z4,visibility4,x5,y5,z5,visibility5,x6,y6,z6,visibility6,x7,y7,z7,visibility7,x8,y8,z8,visibility8,x9,y9,z9,visibility9,x10,y10,z10,visibility10,x11,y11,z11,visibility11,x12,y12,z12,visibility12,x13,y13,z13,visibility13,x14,y14,z14,visibility14,x15,y15,z15,visibility15,x16,y16,z16,visibility16,x17,y17,z17,visibility17,x18,y18,z18,visibility18,x19,y19,z19,visibility19,x20,y20,z20,visibility20,x21,y21,z21,visibility21,x22,y22,z22,visibility22,x23,y23,z23,visibility23,x24,y24,z24,visibility24,x25,y25,z25,visibility25,x26,y26,z26,visibility26,x27,y27,z27,visibility27,x28,y28,z28,visibility28,x29,y29,z29,visibility29,x30,y30,z30,visibility30,x31,y31,z31,visibility31,x32,y32,z32,visibility32,x33,y33,z33,visibility33
Six,0.5953608751296997,0.4811914563179016,-0.5009832382202148,0.9829249382019043,0.6053894758224487,0.4459382891654968,-0.44255509972572327,0.9804375767707825,0.6138383150100708,0.44500336050987244,-0.44259753823280334,0.9804897904396057,0.62265545129776,0.4445047974586487,-0.4425203800201416,0.980602502822876,0.5807089805603027,0.44894954562187195,-0.45330891013145447,0.9806965589523315,0.5725120306015015,0.4494079649448395,-0.4533848166465759,0.9814834594726562,0.5648103952407837,0.45044782757759094,-0.4535634517669678,0.9833357334136963,0.6337854862213135,0.4625518023967743,-0.17737188935279846,0.9798057675361633,0.5554308891296387,0.46790334582328796,-0.22099849581718445,0.983007550239563,0.6139041185379028,0.5097281336784363,-0.40602293610572815,0.9822520017623901,0.5827442407608032,0.5129984021186829,-0.4187754690647125,0.9810306429862976,0.7004157900810242,0.5830957293510437,-0.13135738670825958,0.9836776256561279,0.5136914253234863,0.6086103320121765,-0.2571873664855957,0.9910660982131958,0.7196106314659119,0.35889381170272827,-0.3032882809638977,0.8180326223373413,0.4630199372768402,0.3661457598209381,-0.5370452404022217,0.7905913591384888,0.7452266216278076,0.09984775632619858,-0.5338696837425232,0.7786068916320801,0.4442828595638275,0.1376863270998001,-0.6831070780754089,0.7896515727043152,0.7735015153884888,0.061705589294433594,-0.626598596572876,0.7818761467933655,0.42660894989967346,0.09438330680131912,-0.7694700360298157,0.7871550917625427,0.7688737511634827,0.05283435061573982,-0.6501370668411255,0.7929174304008484,0.43801361322402954,0.08308660238981247,-0.7738604545593262,0.8040330410003662,0.7594462633132935,0.06594380736351013,-0.5662668943405151,0.7898537516593933,0.44891148805618286,0.09671173989772797,-0.7012348175048828,0.8029752969741821,0.695762038230896,1.0598505735397339,0.02740892395377159,0.6224177479743958,0.5585953593254089,1.10941743850708,-0.026500767096877098,0.6012935638427734,0.696799635887146,1.5221354961395264,0.0024087612982839346,0.0794457346200943,0.5545584559440613,1.5223994255065918,-0.08518464863300323,0.1227676197886467,0.7101870775222778,1.904615879058838,0.2809225022792816,0.013514848425984383,0.5722722411155701,1.9447435140609741,0.016206862404942513,0.03881144896149635,0.7020022869110107,1.955306887626648,0.291289359331131,0.014633665792644024,0.5746496915817261,2.000762939453125,0.012229044921696186,0.040327366441488266,0.727891206741333,2.019228219985962,-0.028181780129671097,0.012523680925369263,0.616213858127594,2.051870107650757,-0.3517099618911743,0.027066167443990707
Six,0.5962047576904297,0.4816280007362366,-0.5223937034606934,0.9846188426017761,0.6061568260192871,0.44677668809890747,-0.4689650535583496,0.9823809266090393,0.6146773099899292,0.4457486569881439,-0.4690040946006775,0.9824235439300537,0.6235378980636597,0.4450860023498535,-0.46890464425086975,0.9825273752212524,0.5811663866043091,0.45010942220687866,-0.4768032133579254,0.9826126098632812,0.5727525353431702,0.4507734477519989,-0.47688835859298706,0.9833160638809204,0.5649983286857605,0.4520367383956909,-0.4771024286746979,0.9849846959114075,0.6350029110908508,0.46266084909439087,-0.21634452044963837,0.9818100929260254,0.5554483532905579,0.4697014391422272,-0.2444344311952591,0.9846949577331543,0.6150568723678589,0.5098907351493835,-0.43146610260009766,0.9840123057365417,0.5837439298629761,0.5131861567497253,-0.4397767186164856,0.9829094409942627,0.7009003758430481,0.5823477506637573,-0.1772112250328064,0.9852161407470703,0.5145131349563599,0.6092744469642639,-0.269855797290802,0.9917992949485779,0.7188678979873657,0.35000133514404297,-0.3514511287212372,0.8359177708625793,0.4642115533351898,0.3662031590938568,-0.542909562587738,0.811458170413971,0.7471202611923218,0.09448003023862839,-0.5755491852760315,0.8002747297286987,0.4443296790122986,0.1400851458311081,-0.7000719904899597,0.8103218078613281,0.7724297642707825,0.05229026824235916,-0.6716383099555969,0.8021922707557678,0.4270176291465759,0.09248112142086029,-0.7867397665977478,0.8067179322242737,0.7661231160163879,0.04335831478238106,-0.6906508207321167,0.8121108412742615,0.4383049011230469,0.0795828253030777,-0.7929098010063171,0.8219174146652222,0.7572010159492493,0.05980494245886803,-0.6061040759086609,0.8095452785491943,0.4490641951560974,0.09440003335475922,-0.7190459370613098,0.8211445212364197,0.6988697648048401,1.0506231784820557,0.02425749972462654,0.6540367603302002,0.5588060021400452,1.0737636089324951,-0.023685287684202194,0.6335014700889587,0.6995700001716614,1.514811635017395,-0.03259123116731644,0.08574407547712326,0.5555322766304016,1.5167999267578125,-0.07119187712669373,0.1276264637708664,0.7175212502479553,1.900234580039978,0.22932270169258118,0.013919156044721603,0.5789136290550232,1.937374234199524,0.018341969698667526,0.03881117329001427,0.7123852372169495,1.9509071111679077,0.23809871077537537,0.01507862750440836,0.5829712152481079,1.992489218711853,0.013190063647925854,0.041077204048633575,0.7297672629356384,2.0153000354766846,-0.0876559391617775,0.012343364767730236,0.6185949444770813,2.0466246604919434,-0.3607712686061859,0.026787754148244858
Six,0.5968934893608093,0.4815043807029724,-0.5328344106674194,0.9861351251602173,0.6068860292434692,0.44691523909568787,-0.4772626459598541,0.9841241240501404,0.6154448986053467,0.44580087065696716,-0.47730547189712524,0.9841551780700684,0.6243239641189575,0.445025235414505,-0.47722768783569336,0.9842532277107239,0.58187335729599,0.4505288898944855,-0.48634499311447144,0.984329879283905,0.5734366178512573,0.45135578513145447,-0.48644012212753296,0.9849550127983093,0.5656654834747314,0.4527735710144043,-0.4866482615470886,0.9864608645439148,0.6361604928970337,0.46246716380119324,-0.21886801719665527,0.983604907989502,0.5561684370040894,0.47065746784210205,-0.2522408366203308,0.9862062931060791,0.6159304976463318,0.5097165703773499,-0.439425528049469,0.9855847358703613,0.5846182107925415,0.5129968523979187,-0.4494151175022125,0.9845858812332153,0.7020854949951172,0.5817199349403381,-0.17536786198616028,0.9865485429763794,0.5148405432701111,0.6098083257675171,-0.2689783573150635,0.9923285841941833,0.7178160548210144,0.35273849964141846,-0.3461315333843231,0.8518881797790527,0.466193288564682,0.3652643859386444,-0.5394834876060486,0.830219566822052,0.7476707100868225,0.09855149686336517,-0.5650354623794556,0.8195900321006775,0.44462209939956665,0.13529467582702637,-0.6914986968040466,0.8288613557815552,0.7708579301834106,0.05777022987604141,-0.6593754887580872,0.8201262950897217,0.4272654056549072,0.08991115540266037,-0.7761412858963013,0.8241933584213257,0.7628452181816101,0.05025501549243927,-0.6770424842834473,0.8290643692016602,0.4385364055633545,0.07772274315357208,-0.7804548740386963,0.8379161953926086,0.7542845606803894,0.06549882143735886,-0.5945145487785339,0.826921820640564,0.4490944743156433,0.09166237711906433,-0.709495484828949,0.8372998237609863,0.7007450461387634,1.0556641817092896,0.0203647930175066,0.6816548705101013,0.5608641505241394,1.081662893295288,-0.020051663741469383,0.6609934568405151,0.7015631794929504,1.5165292024612427,-0.050067268311977386,0.09731006622314453,0.5565655827522278,1.5142194032669067,-0.06665794551372528,0.13810063898563385,0.7191130518913269,1.8981704711914062,0.20361097157001495,0.015819311141967773,0.5814005136489868,1.930336833000183,0.02068822644650936,0.04238510876893997,0.714234471321106,1.9486597776412964,0.21157893538475037,0.01664585992693901,0.5867093801498413,1.985628366470337,0.014509744942188263,0.04513849690556526,0.7299555540084839,2.0094919204711914,-0.11610309034585953,0.013508130796253681,0.6183582544326782,2.035400867462158,-0.36049187183380127,0.02913966029882431
Six,0.5973879098892212,0.4813532829284668,-0.5291683673858643,0.9874994158744812,0.6074014902114868,0.4469510614871979,-0.47275835275650024,0.9856930375099182,0.6159789562225342,0.4457971453666687,-0.4728017747402191,0.9857136011123657,0.6248577237129211,0.44495877623558044,-0.47272998094558716,0.9858065247535706,0.5823763608932495,0.4506910443305969,-0.4827337861061096,0.9858754277229309,0.5739135146141052,0.4516008198261261,-0.48282352089881897,0.9864300489425659,0.5661231279373169,0.4530883729457855,-0.4830249845981598,0.9877892732620239,0.636823296546936,0.46235716342926025,-0.21247994899749756,0.9852198958396912,0.5565385818481445,0.4711998999118805,-0.2502977252006531,0.9875665307044983,0.6165421605110168,0.5095665454864502,-0.4350513517856598,0.98699951171875,0.5852397084236145,0.5128326416015625,-0.4463266432285309,0.9860938191413879,0.7021520137786865,0.5815004706382751,-0.16662771999835968,0.9877548217773438,0.5149998664855957,0.6101798415184021,-0.2712903320789337,0.9928132891654968,0.7171769738197327,0.35372909903526306,-0.3363122344017029,0.8662465810775757,0.46799105405807495,0.3644978404045105,-0.5477200746536255,0.8471058011054993,0.747795581817627,0.0999428778886795,-0.5597759485244751,0.8370071649551392,0.4447688162326813,0.13365420699119568,-0.6976373195648193,0.8455702066421509,0.7698248624801636,0.05833350867033005,-0.6578643918037415,0.8363832235336304,0.42748600244522095,0.08865135163068771,-0.7817627191543579,0.8400286436080933,0.760980486869812,0.05117276683449745,-0.6738377213478088,0.8444386720657349,0.4386613965034485,0.07670940458774567,-0.7849935293197632,0.8524152040481567,0.7524857521057129,0.06658264249563217,-0.5883015394210815,0.8426532745361328,0.44897955656051636,0.09076321870088577,-0.7149598002433777,0.8519286513328552,0.7019801735877991,1.0529447793960571,0.018573429435491562,0.7068679928779602,0.5636807680130005,1.0868048667907715,-0.018000531941652298,0.6860525608062744,0.7027000784873962,1.516710638999939,-0.05227067321538925,0.10853667557239532,0.558508038520813,1.5129830837249756,-0.06635164469480515,0.1486779898405075,0.7222107648849487,1.8963478803634644,0.19612117111682892,0.017773780971765518,0.5844947099685669,1.9276373386383057,0.020416665822267532,0.046196360141038895,0.7175580859184265,1.946734070777893,0.20375576615333557,0.018306586891412735,0.5904518365859985,1.9827436208724976,0.013852966949343681,0.049264416098594666,0.731181800365448,2.0069282054901123,-0.1203489750623703,0.01473180204629898,0.6191214323043823,2.032196044921875,-0.36239343881607056,0.031608182936906815
Six,0.5977410078048706,0.48228728771209717,-0.5150970220565796,0.9887403249740601,0.6077754497528076,0.448246031999588,-0.4621001183986664,0.9871148467063904,0.6163679361343384,0.446924090385437,-0.4621427655220032,0.9871295690536499,0.6252573132514954,0.44587892293930054,-0.4621399939060211,0.9872154593467712,0.5827414393424988,0.4520159065723419,-0.4696272313594818,0.9872776865959167,0.5742709040641785,0.45285364985466003,-0.46965155005455017,0.9877727031707764,0.566470742225647,0.4542591869831085,-0.469832181930542,0.9889982342720032,0.6374062299728394,0.46253255009651184,-0.20584043860435486,0.9866860508918762,0.5569959878921509,0.4720282256603241,-0.23386850953102112,0.9888012409210205,0.6169588565826416,0.5102383494377136,-0.42201051115989685,0.9882878661155701,0.5856336951255798,0.5133159160614014,-0.4301096498966217,0.9874703884124756,0.7034140229225159,0.5814787149429321,-0.16013887524604797,0.9888816475868225,0.5155894756317139,0.6103122234344482,-0.24639685451984406,0.9933444261550903,0.7176951169967651,0.3531266450881958,-0.339307963848114,0.8793079853057861,0.46979641914367676,0.3664346933364868,-0.5123988389968872,0.8623249530792236,0.7478810548782349,0.10290773212909698,-0.5601087212562561,0.8528804779052734,0.44485488533973694,0.1377449780702591,-0.6913753747940063,0.8606786727905273,0.7691518068313599,0.05965613201260567,-0.6569398045539856,0.8514581918716431,0.4282425343990326,0.09318342804908752,-0.7806767225265503,0.8544865846633911,0.7599138617515564,0.05281311273574829,-0.6727306842803955,0.8586987257003784,0.4394780695438385,0.07941702008247375,-0.769135594367981,0.8656583428382874,0.7514297366142273,0.06839268654584885,-0.589287519454956,0.8572282791137695,0.4497024118900299,0.09280990064144135,-0.704105019569397,0.865329921245575,0.7024749517440796,1.0518864393234253,0.011091028340160847,0.7287355661392212,0.5646957755088806,1.0912330150604248,-0.010357650928199291,0.7074146866798401,0.7036899328231812,1.520797610282898,-0.061908263713121414,0.11001593619585037,0.5587040185928345,1.5185356140136719,-0.06127835065126419,0.14683730900287628,0.7240082621574402,1.906744360923767,0.19601933658123016,0.017256053164601326,0.5844470262527466,1.9385186433792114,0.027260228991508484,0.04429745301604271,0.7214176058769226,1.9580070972442627,0.20371095836162567,0.017677225172519684,0.5903492569923401,1.9945714473724365,0.02032496966421604,0.04751526191830635,0.7313163876533508,2.0197622776031494,-0.13135893642902374,0.014143637381494045,0.6187257766723633,2.044543504714966,-0.3642699718475342,0.030506428331136703
Six,0.5980064272880554,0.48319825530052185,-0.5082259774208069,0.989857017993927,0.6080540418624878,0.4493907392024994,-0.45741868019104004,0.9883944392204285,0.6166572570800781,0.4479455351829529,-0.4574570655822754,0.9884039163589478,0.6255540251731873,0.4467594027519226,-0.45750755071640015,0.9884834885597229,0.5830143690109253,0.4531661570072174,-0.46349582076072693,0.9885396361351013,0.5745387673377991,0.4539300799369812,-0.4634825587272644,0.9889810681343079,0.5667340159416199,0.45525655150413513,-0.46365007758140564,0.9900861978530884,0.6378289461135864,0.46282532811164856,-0.20400545001029968,0.9880056381225586,0.5573326349258423,0.4726899266242981,-0.2258455455303192,0.9899124503135681,0.617270827293396,0.5109106302261353,-0.4155612885951996,0.9894474148750305,0.5859333276748657,0.5138677358627319,-0.42228204011917114,0.9887092709541321,0.7041831016540527,0.5815921425819397,-0.1563907265663147,0.9898971915245056,0.5160988569259644,0.6104440689086914,-0.23537328839302063,0.9938213229179382,0.7179826498031616,0.35287341475486755,-0.3391193747520447,0.8910602927207947,0.47083306312561035,0.3677687644958496,-0.49976834654808044,0.8760215640068054,0.7480548620223999,0.10361774265766144,-0.5598885416984558,0.8671639561653137,0.444924533367157,0.1386478990316391,-0.6851223707199097,0.8742801547050476,0.7688218355178833,0.05996252968907356,-0.6562114953994751,0.8650264143943787,0.4287315011024475,0.094283826649189,-0.7768078446388245,0.8675234317779541,0.7592962980270386,0.05326365679502487,-0.6720487475395203,0.8715340495109558,0.4400315284729004,0.0801071748137474,-0.7584130764007568,0.8775989413261414,0.7508226037025452,0.0688764676451683,-0.5893546342849731,0.8703486323356628,0.45017701387405396,0.09331221133470535,-0.6955519914627075,0.8774064779281616,0.7028138041496277,1.0515170097351074,0.006912066135555506,0.7488787174224854,0.5654020309448242,1.0941346883773804,-0.006092792376875877,0.7272143363952637,0.7043705582618713,1.5228291749954224,-0.06428850442171097,0.11231895536184311,0.5588579773902893,1.5216881036758423,-0.057765595614910126,0.14610260725021362,0.7261873483657837,1.911004900932312,0.1963612139225006,0.016896545886993408,0.5843483209609985,1.942949652671814,0.03246861323714256,0.042838163673877716,0.7250248193740845,1.9624937772750854,0.20443889498710632,0.017205817624926567,0.590076208114624,1.9992680549621582,0.025356914848089218,0.04613586887717247,0.7314485907554626,2.024733304977417,-0.13281986117362976,0.013686196878552437,0.6184740662574768,2.0487608909606934,-0.3643530607223511,0.02965397760272026
Six,0.598240852355957,0.48316434025764465,-0.5384555459022522,0.990847110748291,0.6082402467727661,0.449648916721344,-0.4845724105834961,0.9895339012145996,0.6168020963668823,0.44817495346069336,-0.4845784306526184,0.9895344972610474,0.6256499290466309,0.44694089889526367,-0.48450151085853577,0.9896108508110046,0.5831832885742188,0.45351117849349976,-0.49243053793907166,0.9896622896194458,0.5745998024940491,0.4543224275112152,-0.4924982190132141,0.9900510311126709,0.5669252276420593,0.45569315552711487,-0.4926835000514984,0.9910492897033691,0.6379810571670532,0.4629206359386444,-0.23051874339580536,0.9891781806945801,0.5577510595321655,0.47307947278022766,-0.26031550765037537,0.990898609161377,0.6175439357757568,0.5108652710914612,-0.4461438059806824,0.9904727339744568,0.5860986709594727,0.5138280987739563,-0.4550344944000244,0.9898006916046143,0.7047755122184753,0.5814080834388733,-0.18050599098205566,0.990742027759552,0.5177401304244995,0.610589861869812,-0.2798195481300354,0.9941298365592957,0.719012439250946,0.35295620560646057,-0.35086414217948914,0.9015640616416931,0.47093120217323303,0.3663997948169708,-0.5496463179588318,0.8883036375045776,0.7482381463050842,0.10132645070552826,-0.5624182820320129,0.8799061179161072,0.4449436664581299,0.1346084177494049,-0.7006880044937134,0.8864069581031799,0.7687826752662659,0.056927844882011414,-0.6551064848899841,0.8770110011100769,0.42890483140945435,0.09272930026054382,-0.7858718633651733,0.8789692521095276,0.7591730952262878,0.048723913729190826,-0.6712965965270996,0.8828912377357483,0.44012904167175293,0.07902003824710846,-0.781623899936676,0.8880941271781921,0.7507747411727905,0.06468092650175095,-0.5911046862602234,0.8819480538368225,0.45030051469802856,0.09163593500852585,-0.7153090834617615,0.8879737257957458,0.7030510306358337,1.0493261814117432,0.008487403392791748,0.7650051116943359,0.5701649188995361,1.0764156579971313,-0.00763110164552927,0.7432151436805725,0.7048441767692566,1.51750648021698,-0.06494440883398056,0.11622574925422668,0.5608732104301453,1.513683795928955,-0.06369226425886154,0.15162287652492523,0.7276217341423035,1.895059585571289,0.19040748476982117,0.01780209317803383,0.5874147415161133,1.9273681640625,0.019545774906873703,0.045147061347961426,0.7256239056587219,1.945515751838684,0.1986088901758194,0.01820024847984314,0.5928686261177063,1.9826158285140991,0.011567102745175362,0.04882540553808212,0.733916163444519,2.005938768386841,-0.13307300209999084,0.014488428831100464,0.6204323172569275,2.0308492183685303,-0.36529994010925293,0.031449683010578156
Six,0.5982967615127563,0.4830979108810425,-0.5265054106712341,0.9917395114898682,0.6083912253379822,0.4498418867588043,-0.4728434085845947,0.990559995174408,0.6169494986534119,0.4483667314052582,-0.4728630483150482,0.9905524253845215,0.6257637143135071,0.447111576795578,-0.47278350591659546,0.9906262755393982,0.583702564239502,0.453647643327713,-0.4793400168418884,0.9906736016273499,0.5755535364151001,0.45445263385772705,-0.4793928563594818,0.9910147786140442,0.5683249235153198,0.4558263421058655,-0.4795876443386078,0.991917610168457,0.6379496455192566,0.46285122632980347,-0.21862690150737762,0.9902326464653015,0.5593499541282654,0.4732606112957001,-0.24413147568702698,0.9917870163917542,0.6177419424057007,0.5107624530792236,-0.4346923232078552,0.9913976192474365,0.5865026712417603,0.5135539174079895,-0.4422130584716797,0.9907866716384888,0.7042567133903503,0.5813387036323547,-0.1750975102186203,0.9915174245834351,0.51911461353302,0.6107582449913025,-0.26517486572265625,0.9944478273391724,0.71674644947052,0.35535532236099243,-0.349294513463974,0.9110876321792603,0.47424736618995667,0.36694642901420593,-0.5352345705032349,0.899400532245636,0.7483664155006409,0.10542521625757217,-0.5604614615440369,0.8915199637413025,0.445701539516449,0.1365668773651123,-0.6860066652297974,0.8974866271018982,0.7689061760902405,0.060999538749456406,-0.6530656218528748,0.8881656527519226,0.4295666217803955,0.0932975560426712,-0.7753841280937195,0.8898267149925232,0.7589696049690247,0.05374397709965706,-0.6693058013916016,0.8934391140937805,0.4410209655761719,0.07967694103717804,-0.7776312232017517,0.8980382084846497,0.7506350874900818,0.06985080242156982,-0.5889540314674377,0.8927022814750671,0.4514959752559662,0.09306145459413528,-0.703574001789093,0.8979572653770447,0.7033594846725464,1.0489085912704468,0.008196561597287655,0.7829882502555847,0.5708088278770447,1.0780433416366577,-0.007306569721549749,0.7617379426956177,0.7048455476760864,1.515182614326477,-0.06128375977277756,0.12185472995042801,0.5609906315803528,1.5113637447357178,-0.062340907752513885,0.1576281040906906,0.72788006067276,1.8917567729949951,0.20242135226726532,0.018458988517522812,0.5872178673744202,1.9250247478485107,0.029394691810011864,0.04717613011598587,0.7258156538009644,1.9416142702102661,0.2124750316143036,0.018673835322260857,0.592577338218689,1.981191873550415,0.022397169843316078,0.05072839930653572,0.7345804572105408,2.00111722946167,-0.11069077253341675,0.01505377795547247,0.6202458143234253,2.0236613750457764,-0.3484676480293274,0.03281869739294052
